messnetz,station_id,station_id_ergaenzung,lat,lon
01/01,001,2/1,49.496318,8.475067
01/01,001,3/1,49.496318,8.475067
01/01,002,2/1,49.504562,8.471729
01/01,003,2/1,49.489183,8.463729
01/01,003,3/1,49.489183,8.463729
01/01,004,2/1,49.500255,8.488139
01/01,005,2/1,49.505487,8.477125
01/01,006,2/1,49.497052,8.472246
01/01,007,2/1,49.498672,8.484276
01/01,007,3/1,49.498672,8.484276
01/01,008,2/1,49.497988,8.464963
01/01,009,2/1,49.499061,8.475401
01/01,009,3/1,49.499061,8.475401
01/01,010,2/1,49.499154,8.481064
01/01,010,3/1,49.499154,8.481064
01/01,011,2/1,49.50673,8.475691
01/01,012,2/1,49.498461,8.486057
01/01,013,2/1,49.49765,8.474827
01/01,013,3/1,49.49765,8.474827
01/01,014,2/1,49.496764,8.474376
01/01,014,3/1,49.496764,8.474376
01/01,015,2/1,49.501791,8.476447
01/01,015,3/1,49.501791,8.476447
01/01,016,2/1,49.4965,8.47394
01/01,016,3/1,49.4965,8.47394
01/01,017,2/1,49.502803,8.471641
01/01,018,2/1,49.494217,8.467059
01/01,019,2/1,49.504188,8.474861
01/01,020,2/1,49.50516,8.468663
01/01,021,2/1,49.505417,8.473025
01/01,022,2/1,49.481227,8.467244
01/01,022,3/1,49.481227,8.467244
01/01,023,2/1,49.504888,8.477162
01/01,023,3/1,49.504888,8.477162
01/01,024,2/1,49.497562,8.466461
01/01,025,2/1,49.499917,8.485551
01/01,026,2/1,49.50242,8.474209
01/01,027,2/1,49.499921,8.484381
01/01,028,2/1,49.499382,8.463888
01/01,029,2/1,49.50082,8.484689
01/01,029,3/1,49.50082,8.484689
01/01,030,2/1,49.499363,8.478609
01/01,031,2/1,49.500466,8.520765
01/01,032,2/1,49.505756,8.474756
01/01,033,2/1,49.501145,8.481736
01/01,033,3/1,49.501145,8.481736
01/01,034,2/1,49.495825,8.471889
01/01,034,3/1,49.495825,8.471889
01/01,035,2/1,49.501537,8.478834
01/01,036,2/1,49.423656,8.519024
01/01,036,3/1,49.423656,8.519024
01/01,037,2/1,49.433839,8.527114
01/01,037,3/1,49.433839,8.527114
01/01,038,2/1,49.43791,8.583614
01/01,038,3/1,49.43791,8.583614
01/01,039,2/1,49.438,8.581649
01/01,039,3/1,49.438,8.581649
01/01,040,2/1,49.445004,8.533342
01/01,040,3/1,49.445004,8.533342
01/01,041,2/1,49.445251,8.577963
01/01,041,3/1,49.445251,8.577963
01/01,042,2/1,49.445936,8.572998
01/01,042,3/1,49.445936,8.572998
01/01,043,2/1,49.447208,8.493657
01/01,043,3/1,49.447208,8.493657
01/01,044,2/1,49.453017,8.518608
01/01,044,3/1,49.453017,8.518608
01/01,045,2/1,49.462957,8.479188
01/01,045,3/1,49.462957,8.479188
01/01,046,2/1,49.463482,8.566951
01/01,046,3/1,49.463482,8.566951
01/01,047,2/1,49.466158,8.474433
01/01,047,3/1,49.466158,8.474433
01/01,048,2/1,49.470264,8.470216
01/01,048,3/1,49.470264,8.470216
01/01,049,2/1,49.470901,8.47174
01/01,049,3/1,49.470901,8.47174
01/01,050,2/1,49.473963,8.53407
01/01,050,3/1,49.473963,8.53407
01/01,051,2/1,49.473966,8.471243
01/01,051,3/1,49.473966,8.471243
01/01,052,2/1,49.478509,8.512988
01/01,052,3/1,49.478509,8.512988
01/01,053,2/1,49.481643,8.535349
01/01,053,3/1,49.481643,8.535349
01/01,054,2/1,49.484112,8.469812
01/01,054,3/1,49.484112,8.469812
01/01,055,2/1,49.491953,8.464383
01/01,055,3/1,49.491953,8.464383
01/01,056,2/1,49.492135,8.474478
01/01,056,3/1,49.492135,8.474478
01/01,057,2/1,49.493699,8.525555
01/01,057,3/1,49.493699,8.525555
01/01,058,2/1,49.495922,8.458456
01/01,058,3/1,49.495922,8.458456
01/01,059,2/1,49.49624,8.457401
01/01,059,3/1,49.49624,8.457401
01/01,060,2/1,49.496885,8.517252
01/01,060,3/1,49.496885,8.517252
01/01,061,2/1,49.505536,8.494478
01/01,061,3/1,49.505536,8.494478
01/01,062,2/1,49.505627,8.51756
