fid,DN,LCZ,_count,_sum,_mean
72,10,LCZ 10,745,17135.9247837067,23.0012413204116
78,13,LCZ C,5768,133180.362625122,23.0895219530378
82,13,LCZ C,506,11677.413192749,23.0778916852747
83,2,LCZ 2,318,7389.40649414062,23.2371273400649
89,10,LCZ 10,633,14689.0299873352,23.2054186213826
94,11,LCZ A,4735,109276.984376907,23.0785605864641
103,10,LCZ 10,353,8209.17985534668,23.2554670123135
106,10,LCZ 10,1005,23456.4986038208,23.3397996057918
108,13,LCZ C,590,13784.9851551056,23.364381618823
112,8,LCZ 8,451,10381.7173881531,23.0193290202951
137,8,LCZ 8,371,8617.93188858032,23.2289269233971
150,8,LCZ 8,777,18019.0656166077,23.1905606391347
161,2,LCZ 2,242,5690.95664024353,23.5163497530724
168,2,LCZ 2,276,6458.51128387451,23.4004032024439
170,8,LCZ 8,365,8542.56860733032,23.4042975543296
171,13,LCZ C,247,5735.22973442078,23.2195535806509
172,13,LCZ C,328,7630.70457077026,23.2643432035679
180,6,LCZ 6,148,3483.83978271484,23.5394579913165
184,2,LCZ 2,1315,30862.6374912262,23.469686305115
198,8,LCZ 8,748,17528.9032268524,23.4343626027439
204,6,LCZ 6,11094,257420.380760193,23.203567762772
205,2,LCZ 2,265,6278.83578300476,23.693719935867
208,11,LCZ A,847,19844.3919334412,23.4290341599069
209,13,LCZ C,2820,66008.2218856812,23.4071708814472
215,8,LCZ 8,971,22761.9726161957,23.4417843627144
220,6,LCZ 6,177,4143.1708316803,23.4077448117531
222,13,LCZ C,198,4660.54909324646,23.538126733568
226,8,LCZ 8,326,7745.72131729126,23.7598813413842
229,8,LCZ 8,197,4666.05118942261,23.6855390326021
253,11,LCZ A,50,1177.25401115417,23.5450802230835
254,13,LCZ C,214,5062.21276473999,23.6551998352336
257,11,LCZ A,2224,52239.0791339874,23.4887945746346
262,6,LCZ 6,7394,173790.783445358,23.5042985454907
316,8,LCZ 8,12,282.52668762207,23.5438906351725
326,13,LCZ C,3564,82969.2093811035,23.2798006119819
332,17,LCZ G,7791,182183.329692841,23.3838184691106
